Railroad,Region,Bridge Prefix,Number Divider,Format Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago & North Western,Galena-Cuba City,Bridge , ,C&NW bridges are named with as ''Bridge [Number] [Suffix]'' where the number is assigned incrementally along the trackage.  Numbers are initially assigned integers with spurs being given a letter suffix appended to the number of the next-lowest bridge number before the junction.  Bridges added after the initial assignment are given a fractional suffix denoting their placement between two bridges.  An example is Bridge 1450 1/2 being added between Bridge 1450 and Bridge 1451.  Further additions work by placing another fraction halfway between the relevant bridge numbers (such as 1450 3/4 between 1450 1/2 and 1451).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal,,,Original,(shared),,,(culvert),(bridge),,,,,,,,,,(universal),,,First Rebuild,,,,,,,,,,,,,,,,,,Further Rebuilds continue cycle,,,,,,,,,,,,,,,,,
Number,Lat,Long,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date
Bridge 1408 1/2,42.68351,-90.43126,C,C.I.P.,24,2,2,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1409,42.67293,-90.43373,C,C.I.P.,30,2,2,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1410,42.66449,-90.43589,B,P.B.,47.1,-1,,3,N,,,,,,,,,pre-1917,Rebuilt,1917,B,P.B.,42,-1,,3,N,,,,,,,,,1917,Rebuilt,1948,C,C.P.C.,42,6,6,,,,,,,,,,,1948,Abandoned,Unknown
Bridge 1411,42.6611,-90.43591,C,Conc. P.,32,2,2.3333,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1412,42.65847,-90.43593,C,Conc. P.,40,3,3.3333,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1412 1/2,42.65675,-90.43595,C,S.B.,26,2.5,3,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1413,42.6539,-90.43598,C,C.I.P.,24,2,2,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1414,42.64854,-90.43603,C,S.B.C.,35,4,4,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1415,42.646,-90.43606,B,P.B.,38.8,-1,,3,N,,,,,,,,,pre-1917,Rebuilt,9-1940,C,Conc. P.,42,2,2,,,,,,,,,,,9-1940,Abandoned,Unknown,,,,,,,,,,,,,,,,,,
Bridge 1416,42.63836,-90.43605,B,P.B.,38,-1,,3,N,,,,,,,,,pre-1917,Rebuilt,10-9-1925,B,P.B.,38,-1,,3,N,,,,,,,,,10-9-1925,Rebuilt,11-1945,C,Conc. Pipe,56,3,3,,,,,,,,,,,11-1945,Abandoned,Unknown
Bridge 1417,42.62881,-90.43609,C,C.I.P.,36,2.5,2.5,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1417 1/4,42.62521,-90.43592,C,W.B.C.,24,2,1.333333,,,,,,,,,,,pre-1917,Removed,2-28-1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1418,42.62371,-90.43561,C,Conc. P.,32,2,2,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1419,42.61487,-90.43572,C,S.B.,67,4,5,,,,,,,,,,,pre-1917,Rebuilt,Unknown,C,S.B.,49,4,6,,,,,,,,,,,Unknown,Abandoned,Unknown,,,,,,,,,,,,,,,,,,
