City,State,Latitude,Longitude
Willow River,MN,46.317812,-92.84315
Yorkshire,OH,40.328535,-84.47938
Foxworth,MS,31.218509,-89.90761
Waycross,GA,31.205194,-82.37534
Delphos,OH,40.841409,-84.34178
Spring Hill,FL,28.564167,-82.416515
Gold Run,CA,39.177026,-120.8451
Riverside,WA,48.528793,-119.45276
Anniston,AL,33.658803,-85.85178
Littleton,CO,39.544549,-104.96808
Lansing,MI,42.596071,-84.838206
Coolidge,AZ,32.967829,-111.52617
East Pharsalia,NY,42.583518,-75.721931
Lillian,TX,32.502674,-97.16347
East Fairfield,VT,44.751801,-72.88247
Pinole,CA,37.997509,-122.29208
Glen Rock,NJ,40.961109,-74.12576
Gabbs,NV,38.872139,-117.78194
Clear Creek,WV,37.90907,-81.35066
Austin,TX,30.326374,-97.771258
Purcellville,VA,39.152187,-77.702576
Hartfield,VA,37.533471,-76.4609
Osage,MN,46.895156,-95.36174
Renner,SD,43.668009,-96.73032
Lindenhurst,NY,40.690049,-73.37442
Neosho Falls,KS,38.005429,-95.56976
Brusett,MT,47.426998,-107.44215
Wakefield,NE,42.242742,-96.87191
Sciota,IL,40.581413,-90.7612
Bigfork,MT,47.952716,-113.96215
Orlando,FL,28.566338,-81.260818
Wyoming,MN,45.329115,-93.06834
Haleyville,AL,34.225425,-87.6118
Goodman,MO,36.734769,-94.42691
Koshkonong,MO,36.602467,-91.64615
Marrowbone,KY,36.824961,-85.50481
Fort Worth,TX,32.75388,-97.32987
Grabill,IN,41.202549,-84.93811
Harrisonburg,LA,31.765818,-91.82382
Grand Rapids,MI,43.000076,-85.64785
Asheville,NC,35.564734,-82.597992
Springfield,VA,38.831813,-77.288755
North Little Rock,AR,34.799541,-92.24764
Alum Creek,WV,38.254483,-81.79045
Oak Grove,AR,36.492129,-93.3744
North Hollywood,CA,34.208142,-118.4011
Pasadena,CA,33.786594,-118.298662
Kendrick,ID,46.635799,-116.54146
Saint Maries,ID,47.274904,-116.57392
Anchorage,AK,61.108864,-149.440311
Dixon,NM,36.1566,-105.84161
Cos Cob,CT,41.047627,-73.59508
Freedom,CA,36.935552,-121.77972
Sinclair,ME,47.165256,-68.27288
Honomu,HI,19.866007,-155.12172
East Saint Johnsbury,VT,44.468494,-71.930077
Whitten,IA,42.261478,-93.00738
Cumnock,NC,35.467567,-79.165314
Pottersville,MO,36.679277,-92.10602
Everett,PA,40.003997,-78.36456
Hudson,FL,28.348507,-82.61937
Centerport,PA,40.486726,-76.00719
Corryton,TN,36.141925,-83.8066
Bouckville,NY,42.88821,-75.5688
Jackson,TN,35.612405,-88.841225
Bowling Green,VA,38.014536,-77.355902
Hallett,OK,36.232452,-96.56882
Cumberland,VA,37.522085,-78.2553
Davis Wharf,VA,37.738248,-75.701449
Denver,CO,39.699156,-104.99999
Athens,GA,33.944339,-83.38908
Spokane,WA,47.653568,-117.431742
El Paso,TX,31.694842,-106.299987
Pacolet,SC,34.900682,-81.74846
Los Angeles,CA,33.786594,-118.298662
Port Allen,LA,30.473536,-91.26324
Manchester,CT,41.778888,-72.52384
San Jose,CA,37.295092,-121.89649
Waterbury,CT,41.54903,-72.99861
Everson,WA,48.900256,-122.32095
Boise,ID,43.459855,-116.243984
Glen Saint Mary,FL,30.272356,-82.21351
Hudson,KY,37.652706,-86.3173
Clearwater,FL,27.979114,-82.78166
Divernon,IL,39.568077,-89.65467
Ammon,VA,37.072361,-77.647495
Saint Louis,MO,38.594901,-90.2278
Humbird,WI,44.550251,-90.89542
Perryville,MD,39.571003,-76.05077
Babbitt,MN,47.688083,-91.91856
Castanea,PA,41.122741,-77.431745
Menahga,MN,46.770167,-95.09659
Danboro,PA,40.328645,-75.10278
Beaver Dams,NY,42.286649,-76.9766
Pleasant Mills,IN,40.74532,-84.937926
Pebble Beach,CA,36.59081,-121.9461
Haslett,MI,42.760217,-84.39027
Sacramento,CA,38.377411,-121.444429
Saint Edward,NE,41.574309,-97.86898
Bellevue,WA,47.618371,-122.20308
Sanders,MT,46.2644,-107.07438
Seattle,WA,47.716648,-122.30308
Steele,MO,36.079378,-89.84896
Gentry,AR,36.269478,-94.46137
La Jolla,CA,32.838761,-117.26159
Modeste,LA,30.204707,-90.869481
Orange,CA,33.640302,-117.769442
Baton Rouge,LA,30.388292,-91.08631
Corn,OK,35.370775,-98.80897
Masterson,TX,35.837775,-101.892846
Waurika,OK,34.16127,-97.99784
Ashfield,MA,42.521131,-72.81116
Frisco,TX,33.130086,-96.78177
Mount Vernon,WA,48.371026,-122.24432
Topeka,KS,39.042939,-95.769657
Patterson,CA,37.477477,-121.14555
Kansas City,MO,39.056505,-94.59439
Cleveland,OH,41.685744,-81.672797
Houston,TX,29.647637,-95.51718
Orestes,IN,40.27046,-85.72871
Tarpon Springs,FL,28.126307,-82.766173
Birmingham,AL,33.544622,-86.929208
Grantsburg,IL,37.342538,-88.73381
Camden,MI,41.731009,-84.65993
Wilburton,PA,40.818443,-76.37737
Scuddy,KY,37.205562,-83.08055
Washington,DC,38.855522,-77.002197
College Station,AR,34.708292,-92.22764
Rockford,IL,42.25517,-89.1297
Andover,MA,42.647191,-71.184202
Willoughby,OH,41.910676,-81.249027
Batavia,OH,39.082894,-84.15319
Madison,WI,43.074296,-89.40774
Mobile,AL,30.658865,-88.177975
Maryville,TN,35.693358,-83.98412
Memphis,TN,35.082936,-89.84892
Rives,TN,36.307957,-89.0377
Mahnomen,MN,47.330624,-95.87672
Hunter,ND,47.198818,-97.21831
Rugby,ND,48.273263,-100.00991
Vicksburg,MS,32.386653,-90.84485
Burdine,KY,37.184477,-82.61109
Nett Lake,MN,48.081686,-93.083438
Appleton,WI,44.244753,-88.37783
Cedar Island,NC,34.984608,-76.1988
Mansfield,GA,33.504952,-83.74735
Atlanta,GA,33.656824,-84.423648
Lavonia,GA,34.450501,-83.09448
Interlachen,FL,29.640791,-81.88648
Hermon,NY,44.465307,-75.230195
Coraopolis,PA,40.500665,-80.18464
Jacksonville,FL,30.34494,-81.683107
Winter Park,FL,28.607077,-81.30606
Miami,FL,25.95872,-80.17941
Mount Jackson,VA,38.772409,-78.69461
Newport News,VA,36.987151,-76.4195
Tazewell,VA,37.113004,-81.50326
Keystone,WV,37.417857,-81.44874
Dunlow,WV,38.011587,-82.38072
South Hamilton,MA,42.616643,-70.86513
Boston,MA,42.338947,-70.919635
Braintree,MA,42.209555,-70.99968
Yonkers,NY,41.119008,-73.732996
Deer Park,NY,40.760698,-73.33007
South Deerfield,MA,42.472734,-72.62452
Boron,CA,35.030694,-117.67264
Union Center,WI,43.685137,-90.26578
Eau Claire,WI,44.82961,-91.50521
Niagara Falls,NY,43.115355,-79.03769
United,PA,40.219344,-79.49244
Hanover,PA,39.795301,-76.97727
Wadley,GA,32.872098,-82.4023
Tallahassee,FL,30.486061,-84.31528
West Palm Beach,FL,26.659294,-80.09118
West River,MD,38.832265,-76.55604
Parkville,MD,39.385006,-76.54177
Vienna,VA,38.831813,-77.288755
Valley Head,WV,38.52061,-80.03629
Hendersonville,NC,35.299726,-82.449228
Columbia,SC,34.037557,-80.96024
Decatur,GA,33.891251,-84.07456
Wilkes Barre,PA,41.272248,-75.880146
Hamilton,AL,34.149717,-88.00384
Salisbury,NC,35.679639,-80.46645
Bladenboro,NC,34.552642,-78.78102
Far Rockaway,NY,40.60002,-73.75962
Saranac,NY,44.617642,-73.81196
South Ryegate,VT,44.168111,-72.14245
Salem,CT,41.485469,-72.25445
Columbus,NJ,40.079952,-74.70684
Providence,KY,37.396445,-87.76428
Hebron,OH,40.095148,-82.482659
Lakeside Marblehead,OH,41.533186,-82.75881
Nankin,OH,40.920617,-82.281695
Cincinnati,OH,39.166759,-84.53822
Wheelersburg,OH,38.729816,-82.8004
Stantonville,TN,35.159237,-88.41878
Rickman,TN,36.270655,-85.32525
Nokomis,FL,27.144031,-82.464468
Oldsmar,FL,28.042799,-82.67737
Sturgis,MS,33.344664,-89.036193
Caballo,NM,32.969955,-107.36322
Artesia,CA,33.867215,-118.08062
La Crescenta,CA,34.232003,-118.24753
Potrero,CA,33.016928,-116.846046
Minnetonka,MN,44.915413,-93.48443
Hazelton,ND,46.488312,-100.29283
Chillicothe,IL,40.914377,-89.50654
Ohlman,IL,39.261791,-89.421584
Mount Vernon,MO,37.101742,-93.80738
Rexford,KS,39.40544,-100.74875
Billings,OK,36.52791,-97.43304
Riesel,TX,31.475763,-96.9179
Brookings,SD,44.369696,-96.790705
McIntosh,SD,45.924062,-101.354116
Barney,ND,46.304176,-96.99819
Grand Forks,ND,47.933481,-97.394446
Traskwood,AR,34.433276,-92.66087
Pelsor,AR,35.794196,-93.04185
Metairie,LA,29.677893,-90.0901
Fenton,LA,30.366126,-92.91837
Quartzsite,AZ,33.654343,-114.23325
Keller,WA,48.080515,-118.69498
Honolulu,HI,24.859832,-168.021815
Beaverton,OR,45.548616,-123.114725
Cascade,CO,38.911701,-104.98731
Pavillion,WY,43.312211,-108.56038
Minden,NV,39.009564,-119.75557
Valencia,CA,34.445313,-118.55252
Crestline,CA,34.242567,-117.28654
Ridge Spring,SC,33.804368,-81.65577
Hogansville,GA,33.173516,-84.91737
Camden,AL,32.008444,-87.25911
Cleveland,TN,35.146362,-84.88723
Obion,TN,36.253678,-89.25364
Lake Cormorant,MS,34.904881,-90.19353
Potts Camp,MS,34.643828,-89.33776
Hamilton,OH,39.404856,-84.52271
Owensburg,IN,38.924067,-86.74308
New Port Richey,FL,28.209833,-82.66973
Mansfield,WA,47.880616,-119.54481
Rice,WA,48.406582,-118.11029
Grouse Creek,UT,41.307779,-113.56365
Cisco,UT,38.999877,-109.615008
Lake George,CO,39.031989,-105.46846
Medicine Bow,WY,42.196315,-106.32113
Coquille,OR,43.187219,-124.16396
East Otis,MA,42.175896,-73.04204
Dalton,MA,42.516145,-73.092852
Framingham,MA,42.446396,-71.459405
Harrods Creek,KY,38.329718,-85.63299
Pathfork,KY,36.753043,-83.44991
Crosby,MN,46.528094,-93.98055
Effie,MN,47.852874,-93.50758
Hurley,WI,46.40553,-90.21811
New Auburn,MN,44.673454,-94.229311
Franklin,OH,39.550241,-84.3087
Mount Blanchard,OH,40.903089,-83.54591
Lowell,IN,41.269789,-87.41353
Grass Creek,IN,41.040988,-86.206925
Germfask,MI,46.180416,-85.90176
Moorhead,IA,41.911376,-95.86092
Dubuque,IA,42.50963,-90.75329
Cedar Rapids,IA,42.079415,-91.599215
Burlington,KY,39.020466,-84.74158
Stockett,MT,47.188396,-111.16349
South Pekin,IL,40.49271,-89.65194
Pavo,GA,30.966781,-83.72075
Tampa,FL,28.127973,-82.36123
Allensville,PA,40.510176,-77.83124
Alexander,NY,42.906765,-78.24581
Woolwine,VA,36.806528,-80.26895
Elk Creek,VA,36.729236,-81.2001
Istachatta,FL,28.65503,-82.267706
Ralston,PA,41.505366,-76.95432
Royal City,WA,46.922079,-119.67175
Redwood City,CA,37.444879,-122.26253
German,PA,39.9783,-79.856751
State College,PA,40.792011,-77.84993
Myerstown,PA,40.389502,-76.3147
Milnesville,PA,40.989783,-75.98173
Epes,AL,32.716468,-88.15261
Sipsey,AL,33.823683,-87.08699
Salem,VA,37.288384,-80.067062
Sugar Grove,WV,38.482224,-79.33161
Raleigh,NC,35.899208,-78.71161
Groton,CT,41.39973,-72.090357
South Amboy,NJ,40.469606,-74.27669
San Juan,PR,18.400006,-66.05028
Westborough,MA,42.364807,-71.896868
Davant,LA,29.61829,-89.872599
Western Grove,AR,36.062264,-92.96277
Oklahoma City,OK,35.43366,-97.52496
Milburn,OK,34.273995,-96.54837
Baldwin,MI,43.895264,-85.88157
Arvada,CO,39.522014,-105.223945
Inglewood,CA,33.975263,-118.35558
Astoria,OR,46.155007,-123.7417
Dallas,TX,32.767268,-96.777626
Eagle,ID,43.705551,-116.36346
Phoenix,AZ,33.449995,-112.09024
Farrell,MS,34.22795,-90.63213
Nettleton,MS,34.082553,-88.58797
Shelbyville,KY,38.197268,-85.212156
Indianapolis,IN,39.779492,-86.132837
Gary,IN,41.590686,-87.319937
Florence,MO,38.609313,-92.97655
Rantoul,KS,38.542788,-95.1232
Hoyt,KS,39.254902,-95.69171
San Angelo,TX,31.372754,-100.495114
Texas City,TX,29.495537,-94.961797
Amherst,CO,40.681557,-102.16663
Kingston,ID,47.566703,-116.20774
Gildford,MT,48.733088,-110.32495
Annawan,IL,41.412944,-89.92236
Fairbury,IL,40.741158,-88.51546
Bondville,IL,40.112616,-88.3708
Gary,MN,47.363986,-96.2396
Ozona,TX,30.711061,-101.215979
Kinmundy,IL,38.768452,-88.82814
Gretna,LA,29.915355,-90.05335
Sharples,WV,37.909119,-81.83666
East Pembroke,NY,42.991173,-78.312171
